Post Office,Pincode,Latitude,Longitude
"A F Station Yelahanka,BSF Campus Yelahanka",560063,13.1290872,77.6142258
Adugodi,560030,12.9441502,77.607623
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",560034,12.9261382,77.6221091
Agram,560007,12.9579166,77.6309117
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",560092,13.0641037,77.5931209
"Anandnagar  (Bangalore),H.A. Farm,Hebbal Kempapura",560024,13.0487446,77.5923297
"Anekal,Anekalbazar,Bestamaranahalli,Indalavadi,Marsur,Samandur,Sidihoskote,Thammanayakanahalli,Vanakanahalli",562106,12.7226855,77.6765184
"Arabic College,Nagawara,Venkateshapura",560045,13.0262152,77.6199836
"Ashoknagar  (Bangalore),Banashankari,Dasarahalli(Srinagar),State Bank Of Mysore Colony",560050,12.9353067,77.5585308
"Attibele,Bidaraguppe,Mayasandra,Neralur,Yadavanahalli",562107,12.7592186,77.7337628
"Attur,CRPF Campus Yelahanka,Jakkur,Rajanakunte,Singanayakanahalli,Yelahanka,Yelahanka Satellite Town",560064,13.10197,77.5863591
"Austin Town,Viveknagar  (Bangalore)",560047,12.9536792,77.6176248
"B Sk II Stage,Jayanagar West,Padmanabhnagar,Tyagrajnagar",560070,12.9149298,77.5634899
"Bagalgunte,Chikkabidarkal,Nagasandra  (Bangalore),Nelakadiranahalli",560073,13.049621,77.4941462
"Bagalur  (Bangalore),Bandikodigehalli,Doddagubbi,Kannur",562149,13.1195105,77.678614
"Banashankari III Stage,Byatarayanapura,Girinagar  (Bangalore),Hosakerehalli,Kathriguppe",560085,12.9306048,77.5433739
"Banaswadi,Horamavu,Jalavayuvihar,Kalyananagar",560043,13.0206268,77.6478852
"Bangalore Bazaar,Bangalore G.P.O.,Cubban Road,Dr. Ambedkar Veedhi,HighCourt,Legislators Home,Mahatma Gandhi Road,Rajbhavan  (Bangalore),Vidhana Soudha",560001,12.9765944,77.5992708
"Bangalore City,Bangalore Corporation Building,Sri Jayachamarajendra Road",560002,12.9635207,77.5821062
"Bangalore Dist Offices Bldg,K. G. Road",560009,12.9770286,77.5773054
Bangalore International Airport,560300,13.197984,77.7001823
"Bannerghatta Road,Bilekahalli,Hulimavu,JP Nagar VIII phase,Mico Layout,Mount St Joseph",560076,12.8845097,77.6035522
"Bannerghatta,Gottigere,Kallubalu,Ragihalli",560083,12.82667,77.5549333
"Bapagrama,Herohalli,Herohalli,Viswaneedam",560091,12.9866413,77.4904285
"Basavanagudi H.O,Mavalli,Pampamahakavi Road",560004,12.9437506,77.5737598
"Basaveshwaranagar,K H B Colony,Kamakshipalya",560079,12.9890283,77.5331725
"Begur,Bommanahalli  (Bangalore),Hongasandra,Madivala",560068,12.8892684,77.63991
"Bellandur,Panathur",560103,12.9298689,77.6848366
Benson Town,560046,13.0011645,77.5995482
"Bettahalsur,Chikkajala,Doddajala,Hunasamaranahalli,Tarahunise,Vidyanagara",562157,13.1725508,77.6307018
"Bhattarahalli,Bidrahalli,Mundur,Thambuchetty palya,Virgonagar",560049,13.0222936,77.7132065
"Bnagalore Viswavidalaya,Mallathahalli,Ullalu Upanagara",560056,12.9514678,77.492145
Bolare,560082,12.7930129,77.5051501
"Bommasandra Industrial Estate,Chandapura,Hebbagodi,Muthanallur",560099,12.8124199,77.6940315
C.V.Raman Nagar,560093,12.9858672,77.6713031
Carmelaram,560035,12.9048022,77.6821069
Chamarajasagara,562120,12.8788123,77.1715228
Chamrajpet  (Bangalore),560018,12.9569886,77.5637328
"Chandra Lay Out,Vijayanagar East,Vijayanagar  (Bangalore)",560040,12.9680322,77.5304726
Chickpet,560053,12.9693159,77.5730698
"Chikkabettahalli,Vidyaranyapura",560097,13.0809029,77.5564981
"Chikkalasandra,Subramanyapura",560061,12.9037254,77.5376389
"Chikkanahalli,Chunchanakuppe,Kadabagere,Tavarekere  (Bangalore)",562130,12.9459719,77.3898602
Chudenapura,560060,12.9104743,77.4841775
"CMP Centre And School,Museum Road,Richmond Town",560025,12.9662156,77.6067998
"Deepanjalinagar,Governmemnt Electric Factory",560026,12.9565222,77.5483533
"Devanagundi,Kadugodi,Kannamangala,Medimallasandra",560067,12.9967012,77.758197
"Devasandra,Krishnarajapuram",560036,13.008385,77.696008
"Dharmaram College,Taverekere",560029,12.9342565,77.6043993
"Doddakallasandra,Konanakunte,Tataguni",560062,12.8833957,77.5485936
"Doddanekkundi,Kundalahalli,Marathahalli Colony,Rameshnagar,Yemalur",560037,12.9566294,77.7046823
Domlur,560071,12.9532958,77.6408123
"Dommasandra,Handenahalli,Kugur,Sarjapura",562125,12.8613691,77.7866469
"Doorvaninagar,Krishnarajapuram R S,Ramamurthy Nagar",560016,13.0165929,77.6803969
"Dr. Shivarama Karanth Nagar,Kothanur",560077,13.0639539,77.6503609
Electronics City,560100,12.8498481,77.6544856
Fraser Town,560005,12.9979887,77.6226512
G.K.V.K.,560065,13.0935798,77.5778529
"Gaviopuram Extension,Narasimharaja Colony",560019,12.9472704,77.5615705
"Gayathrinagar,Srirampuram",560021,12.992521,77.5632862
"Gunjur,Muthusandra,Vartur",560087,12.9214653,77.7343139
"H.A.L II Stage H.O,Hulsur Bazaar",560008,12.9819939,77.6256131
H.K.P. Road,560051,12.9882593,77.5986941
Hampinagar,560104,12.9621342,77.5375636
"Haragadde,Hennagara,Hulimangala,Jigani",560105,12.7774797,77.6421577
"Hoodi,Mahadevapura",560048,12.9853591,77.7081261
HSR Layout,560102,12.911862,77.6445923
"Immedihalli,Ramagondana Halli,Whitefield",560066,12.9698066,77.7499632
Indiranagar  (Bangalore),560038,12.9783459,77.6407867
"Industrial Estate  (Bangalore),Rajajinagar H.O,Rajajinagar IVth Block",560010,12.9849815,77.553344
"ISRO Anthariksha Bhavan,R.M.V. Extension II Stage",560094,13.039301,77.5739817
"J P Nagar,JP Nagar III Phase,Kumaraswamy Layout,Yelachenahalli",560078,12.898773,77.5764094
"J.C.Nagar,Training Command IAF",560006,13.0138405,77.5876668
Jalahalli East,560014,13.0733626,77.5463603
Jalahalli H.O,560013,13.0503355,77.5529007
Jalahalli West,560015,13.0625679,77.5284047
"Jayanagar H.O,Tilaknagar  (Bangalore)",560041,12.9217081,77.5936183
"Jayangar III Block,Madhavan Park",560011,12.9336736,77.5899649
"Jeevabhimanagar,Jeevanbhimanagar,New Thippasandra",560075,12.9706322,77.6529303
"Kacharakanahalli,Lingarajapuram,St. Thomas Town",560084,13.0146034,77.627147
"Kanakanagar,P&T Col. Kavalbyrasandra,R T Nagar H.O",560032,13.0297992,77.6047037
"Kanteeravanagar,Nandinilayout",560096,13.015811,77.5390237
"Kenchanahalli,Rajarajeshwarinagar",560098,12.9155497,77.5134699
Koramangala VI Bk,560095,12.9369154,77.6407258
"Kumbalagodu,Kumbalgodu Gollahalli,Ramohalli",560074,12.8823821,77.4418115
"Laggere,Peenya I Stage,Peenya II Stage,Peenya Small Industries",560058,13.0280874,77.5120799
Magadi Road,560023,12.9757428,77.5585781
"Mahalakshmipuram Layout,West of Chord Road II stage",560086,13.0066617,77.5449837
"Malkand Lines,Maruthi Sevanagar",560033,12.9983172,77.6408671
"Malleswaram,Palace Guttahalli,Swimming Pool Extn,Venkatarangapura,Vyalikaval Extn",560003,13.0019142,77.5713364
"Malleswaram West,Milk Colony",560055,13.0078444,77.557663
"Mathikere,Msrit,Sri Chowdeshwari",560054,13.0346622,77.5572053
Nagarbhavi,560072,12.9719249,77.512809
"NAL,Vimanapura",560017,12.955106,77.6593211
Nayandahalli,560039,12.9445624,77.5252997
Peenya Dasarahalli,560057,13.0429056,77.5131504
Rv Niketan,560059,12.9251181,77.49918
Sadashivanagar,560080,13.010303,77.5796019
"Sampangiramnagar,Shanthinagar,Wilson Garden",560027,12.9560933,77.5921445
Science Institute,560012,13.0140114,77.565762
Seshadripuram,560020,12.9889216,77.5740957
Sivan Chetty Gardens,560042,12.9827745,77.6130519
Tarabanahalli,560090,13.079628,77.4970327
"Yeshwanthpur Bazar,Yeswanthpura",560022,13.0288778,77.5400403
