Neighbourhood,Venue,Category,Venue Latitude,Venue Longitude
"A F Station Yelahanka,BSF Campus Yelahanka",Hunsmarnahalli lake,Lake,13.124539355071432,77.61203592086079
"A F Station Yelahanka,BSF Campus Yelahanka",AERO INDIA 2017,Hot Spring,13.132061,77.608366
"A F Station Yelahanka,BSF Campus Yelahanka",Food City,Department Store,13.121692657470703,77.61289978027344
"A F Station Yelahanka,BSF Campus Yelahanka",Tandoori Bites,Indian Restaurant,13.121500334006786,77.6149004816471
"A F Station Yelahanka,BSF Campus Yelahanka",Jodhpur sweets,Indian Restaurant,13.12131118774414,77.61528015136719
Adugodi,The Chocolate Room,Café,12.9355054209139,77.60868922101831
Adugodi,Cafe Coffee Day,Café,12.936360659948681,77.61058325361016
Adugodi,Cafe Aloha,Café,12.9356509603896,77.60807832349703
Adugodi,Cafe Coffee Day,Café,12.943540884140871,77.60002859073917
Adugodi,Malabar Bay,Kerala Restaurant,12.935272605914147,77.60761824581886
Adugodi,TechTeaShop,Tea Room,12.93599038,77.60743916
Adugodi,Bodycraft Spa & Salon,Spa,12.94928854557866,77.61418994308924
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Fabindia,Furniture / Home Store,12.92493814274987,77.61913871753138
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Chechi's Mess,Indian Restaurant,12.926052682893918,77.61793948768472
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Grand Mercure Bangalore,Hotel,12.9289552,77.6274103
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Sanjeevanam,Indian Restaurant,12.925457924671166,77.619413942688
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",a 1oōo yoga,Yoga Studio,12.933552473024575,77.62176581506846
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Savoury,Halal Restaurant,12.926060143244218,77.61700713693132
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Chianti,Italian Restaurant,12.933537109665405,77.6218620764095
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Nagarjuna,Andhra Restaurant,12.933693481714693,77.62115620899334
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Cake Walk,Bakery,12.933662058484686,77.62684576441147
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Sandhya Digital 4K,Indie Movie Theater,12.920966354083413,77.61818754995869
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Baskin-Robbins,Ice Cream Shop,12.925383732601617,77.61830205295567
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Gold's Gym,Gym,12.933582851700306,77.6215586723311
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Onestà,Pizza Place,12.93361066169291,77.62698962902192
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Mr Beans The Coffee Lounge,Café,12.929124087031168,77.62170726370013
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Cafe D'hide,Café,12.93357543894524,77.62244184849017
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Ibaco,Ice Cream Shop,12.933792011419657,77.62663143399512
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Om Made Cafe,Café,12.933790479359715,77.62146627154289
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",My Bar- quarter deck,Bar,12.933637032774023,77.62048164854184
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",The Flying Squirrel - Micro Roastery & Cafe,Coffee Shop,12.93361977348849,77.6214462332161
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",TimTai,Thai Restaurant,12.933726701576264,77.62257092482736
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Bon South,Indian Restaurant,12.933607097271379,77.62231245268157
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Gilly’s Redefined,Pub,12.933387554638834,77.62352536231694
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",By The Blue,Indian Restaurant,12.929157543698361,77.62828007053234
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Sathya's,Hotel Bar,12.929161556238974,77.62904110741958
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",154 breakfast club,Breakfast Spot,12.929116371440736,77.62915894896055
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",cafe medley,Café,12.933869823025992,77.6193650229155
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Seashell,Indian Restaurant,12.926776261597501,77.6162114237389
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Over The Top,Lounge,12.934432960693455,77.6234803949894
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",BonSouth,Indian Restaurant,12.933680836553842,77.62234578225225
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Cup O Joe,Café,12.93388312459835,77.6189474650823
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Cafe 132,Café,12.933548952528009,77.62214442481894
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Cafe Coffee Day,Coffee Shop,12.93438002601041,77.62565032691057
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Daily Bread,American Restaurant,12.931347671201502,77.62305397027329
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Habañero Koramangala,Mexican Restaurant,12.933882146374716,77.61947691390635
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Serengeti,Indian Restaurant,12.92166422677929,77.62036469501815
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Naati Mane,Indian Restaurant,12.934628529141165,77.61995262418685
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Cafe Coffee Day Lounge,Coffee Shop,12.93264235091151,77.62306067263394
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Smoked Out,BBQ Joint,12.934276026828355,77.6257525903187
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Barista Lavazza,Café,12.933712733704025,77.62006735703564
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Enigma - The Pub,Pub,12.934193313970827,77.62364843581581
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",12th Main Restaurant,Restaurant,12.928916567649734,77.6273066650608
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Beijing Bites,Chinese Restaurant,12.9334996367936,77.62176647439922
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Bar code,Pub,12.932128275265343,77.62295890592536
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Kairali Restuarant,Diner,12.926540389496617,77.61579315537918
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Anjappar,Indian Restaurant,12.932162461291599,77.62288892012221
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Hokey Pokey Icecream,Ice Cream Shop,12.933618773987817,77.62082581318481
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Oottupura,Kerala Restaurant,12.926713406642742,77.61582231015042
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Tandoor Hut,Indian Restaurant,12.93372589511646,77.6193918062634
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Malabar Mess,Indian Restaurant,12.924764860637838,77.61465495997487
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Vasudev Adiga's,Indian Restaurant,12.921515990941915,77.62011469043053
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Savoury,Fast Food Restaurant,12.926799925400703,77.6163159506115
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",KFC,Fast Food Restaurant,12.921841406105857,77.6198069916814
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Shaap (Authentic Kerala Shaap Cuisine),Kerala Restaurant,12.933690211408482,77.6182964583504
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Brooks And Bonds,Brewery,12.934148240772732,77.62339561196282
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Tangerine,Restaurant,12.921730018989724,77.62055397033691
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Tasty,Food Court,12.922695146278867,77.61434692672489
"Agara,Koramangala I Block,Koramangala,St. John's Medical College",Ikka's Tea Shop,Bakery,12.921458323494562,77.61460395822697
Agram,Domino's Pizza,Pizza Place,12.961,77.639
Agram,Srinidhi Sagar,Indian Restaurant,12.95934816148329,77.63838706241823
Agram,"ASC Centre, Domlur",Golf Course,12.950481903713944,77.6337112159782
Agram,Kollanoor Villa,Historic Site,12.954623285071625,77.62328673577098
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",The Druid Garden,Brewery,13.063945601216286,77.59149228078782
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",Big Straw,Bubble Tea Shop,13.063414271870274,77.59119200755669
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",Swensen's,Ice Cream Shop,13.063475844621166,77.59079305282464
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",Shivas Kabab Corner,Indian Restaurant,13.062748315373495,77.5917886649798
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",Sanjay Dhaba,Indian Restaurant,13.058611505214355,77.59376660832271
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",McDonald's,Fast Food Restaurant,13.06368733136137,77.58957301551773
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",Swathi Gardenia,Indian Restaurant,13.05910806914535,77.59318443884698
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",More Mega Store,Department Store,13.057881287068907,77.59209947130107
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",Freskka,Italian Restaurant,13.060854922981473,77.58736833308511
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",Baskin-Robbins,Ice Cream Shop,13.055481985101833,77.59324662609335
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",Subway,Sandwich Place,13.06291060796917,77.58648104266047
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",Cafe Coffee Day,Coffee Shop,13.059461542237154,77.58764863014221
"Amruthahalli,Byatarayanapura,Kodigehalli,Sahakaranagar P.O",Sahakarnagar Park,Garden,13.062547888334759,77.58622169494629
